t,solar,wind,year
1080,0,0.13,2000
1081,0,0.159,2000
1082,0.289,0.153,2000
1083,0.532,0.289,2000
1084,0.719,0.345,2000
1085,0.757,0.323,2000
1086,0.75,0.299,2000
1087,0.739,0.268,2000
1088,0.724,0.243,2000
1089,0.709,0.222,2000
1090,0.668,0.218,2000
1091,0.58,0.227,2000
1092,0.386,0.227,2000
1093,0.047,0.208,2000
1094,0,0.295,2000
1095,0,0.406,2000
1096,0,0.38,2000
1097,0,0.258,2000
1098,0,0.186,2000
1099,0,0.183,2000
1100,0,0.196,2000
1101,0,0.232,2000
1102,0,0.28,2000
1103,0,0.256,2000
1104,0,0.243,2000
1105,0,0.229,2000
1106,0.403,0.192,2000
1107,0.67,0.325,2000
1108,0.727,0.383,2000
1109,0.753,0.345,2000
1110,0.759,0.295,2000
1111,0.749,0.241,2000
1112,0.738,0.194,2000
1113,0.725,0.151,2000
1114,0.695,0.134,2000
1115,0.617,0.136,2000
1116,0.442,0.137,2000
1117,0.085,0.127,2000
1118,0,0.185,2000
1119,0,0.232,2000
1120,0,0.223,2000
1121,0,0.113,2000
1122,0,0.065,2000
1123,0,0.045,2000
1124,0,0.041,2000
1125,0,0.053,2000
1126,0,0.048,2000
1127,0,0.032,2000
1128,0,0.027,2000
1129,0,0.036,2000
1130,0.279,0.05,2000
1131,0.547,0.098,2000
1132,0.709,0.14,2000
1133,0.747,0.183,2000
1134,0.748,0.212,2000
1135,0.73,0.218,2000
1136,0.702,0.206,2000
1137,0.656,0.181,2000
1138,0.566,0.156,2000
1139,0.403,0.142,2000
1140,0.199,0.13,2000
1141,0.04,0.159,2000
1142,0,0.208,2000
1143,0,0.161,2000
1144,0,0.079,2000
1145,0,0.022,2000
1146,0,0.004,2000
1147,0,0.001,2000
1148,0,0,2000
1149,0,0.001,2000
1150,0,0.004,2000
1151,0,0.01,2000
1152,0,0.017,2000
